"Date","Price","Open","High","Low","Vol.","Change %"
"12/19/2024","97,375.0","100,153.0","102,747.0","95,537.0","3.43K","-2.77%"
"12/18/2024","100,153.0","106,187.0","106,523.0","99,997.0","2.56K","-5.68%"
"12/17/2024","106,187.0","106,073.0","108,364.0","105,363.0","1.41K","0.11%"
"12/16/2024","106,073.0","104,421.0","107,821.0","103,322.0","2.17K","1.58%"
"12/15/2024","104,421.0","101,382.0","105,149.0","101,243.0","1.37K","3.00%"
"12/14/2024","101,382.0","101,435.0","102,643.0","100,643.0","0.57K","-0.05%"
"12/13/2024","101,435.0","100,068.0","101,918.0","99,250.0","1.03K","1.37%"
"12/12/2024","100,068.0","101,201.0","102,572.0","99,309.0","1.39K","-1.12%"
"12/11/2024","101,197.0","96,648.0","101,961.0","95,725.0","2.20K","4.71%"
"12/10/2024","96,648.0","97,468.0","98,297.0","94,307.0","2.09K","-0.84%"
"12/09/2024","97,468.0","101,204.0","101,271.0","94,258.0","2.47K","-3.69%"
"12/08/2024","101,204.0","99,929.0","101,407.0","98,752.0","1.07K","1.28%"
"12/07/2024","99,929.0","99,898.0","100,571.0","99,121.0","0.59K","0.03%"
"12/06/2024","99,898.0","97,057.0","102,097.0","96,463.0","2.61K","2.93%"
"12/05/2024","97,057.0","98,776.0","103,647.0","92,111.0","7.45K","-1.74%"
"12/04/2024","98,776.0","95,926.0","99,245.0","94,661.0","4.31K","2.97%"
"12/03/2024","95,926.0","95,859.0","96,301.0","93,591.0","3.48K","0.07%"
"12/02/2024","95,859.0","97,291.0","98,200.0","94,417.0","3.23K","-1.47%"
"12/01/2024","97,291.0","96,441.0","97,880.0","95,758.0","0.88K","0.88%"
"11/30/2024","96,441.0","97,512.0","97,512.0","96,112.0","0.65K","-1.10%"
"11/29/2024","97,512.0","95,661.0","98,736.0","95,410.0","2.41K","1.93%"
"11/28/2024","95,661.0","95,978.0","96,658.0","94,670.0","2.09K","-0.33%"
"11/27/2024","95,978.0","91,921.0","97,353.0","91,760.0","3.00K","4.41%"
"11/26/2024","91,921.0","93,035.0","94,999.0","90,742.0","3.57K","-1.20%"
"11/25/2024","93,035.0","97,999.0","98,966.0","92,584.0","2.97K","-5.07%"
"11/24/2024","97,999.0","97,775.0","98,660.0","95,796.0","1.81K","0.23%"
"11/23/2024","97,775.0","99,013.0","99,015.0","97,226.0","1.72K","-1.25%"
"11/22/2024","99,013.0","98,451.0","99,789.0","97,236.0","4.65K","0.57%"
"11/21/2024","98,451.0","94,373.0","99,050.0","94,106.0","7.28K","4.32%"
"11/20/2024","94,373.0","92,424.0","94,942.0","91,522.0","9.30K","2.18%"
"11/19/2024","92,363.0","90,512.0","94,057.0","90,407.0","3.88K","2.06%"
"11/18/2024","90,502.0","89,861.0","92,624.0","89,392.0","4.28K","0.71%"
"11/17/2024","89,861.0","90,608.0","91,429.0","88,709.0","2.02K","-0.82%"
"11/16/2024","90,608.0","91,070.0","91,778.0","90,100.0","1.54K","-0.51%"
"11/15/2024","91,070.0","87,333.0","91,909.0","87,124.0","4.49K","4.28%"
"11/14/2024","87,333.0","90,521.0","91,801.0","86,685.0","3.81K","-3.52%"
"11/13/2024","90,521.0","88,031.0","93,478.0","86,263.0","7.34K","2.75%"
"11/12/2024","88,096.0","88,770.0","89,999.0","85,151.0","8.04K","-0.76%"
"11/11/2024","88,770.0","80,425.0","89,625.0","80,286.0","6.69K","10.38%"
"11/10/2024","80,425.0","76,722.0","81,480.0","76,554.0","2.74K","4.83%"
"11/09/2024","76,722.0","76,561.0","76,939.0","75,770.0","0.84K","0.21%"
"11/08/2024","76,561.0","75,921.0","77,265.0","75,665.0","2.47K","0.84%"
"11/07/2024","75,921.0","75,637.0","76,983.0","74,479.0","3.27K","0.38%"
"11/06/2024","75,637.0","69,386.0","76,481.0","69,284.0","7.73K","9.01%"
